number,times_testified,times_lied,truth_score
1,14999.0,5747.0,0.616841122741516
2,14998.0,735.0,0.9509934657954394
3,14997.0,583.0,0.9611255584450223
4,14996.0,161.0,0.9892638036809815
5,14995.0,584.0,0.9610536845615205
6,14994.0,598.0,0.9601173802854475
7,14993.0,582.0,0.9611818848796105
8,14992.0,737.0,0.9508404482390609
9,14991.0,317.0,0.9788539790540991
10,14990.0,586.0,0.9609072715143429
11,14989.0,588.0,0.9607712322369738
12,14988.0,587.0,0.9608353349346144
13,14987.0,574.0,0.9617001401214386
14,14986.0,586.0,0.9608968370479114
15,14985.0,590.0,0.9606272939606273
16,14984.0,121.0,0.9919247197010144
17,14983.0,594.0,0.9603550690782887
18,14982.0,737.0,0.9508076358296622
19,14981.0,589.0,0.9606835324744677
20,14980.0,584.0,0.9610146862483311
21,14979.0,579.0,0.9613458842379331
22,14978.0,595.0,0.9602750701028174
23,14977.0,587.0,0.9608065700741136
24,14976.0,595.0,0.9602697649572649
25,14975.0,303.0,0.9797662771285476
26,14974.0,584.0,0.9609990650460799
27,14973.0,588.0,0.9607293127629734
28,14972.0,583.0,0.9610606465402084
29,14971.0,588.0,0.960724066528622
30,14970.0,593.0,0.9603874415497662
31,14969.0,580.0,0.9612532567305765
32,14968.0,738.0,0.9506948156066275
33,14967.0,590.0,0.9605799425402552
34,14966.0,575.0,0.9615795803821996
35,14965.0,588.0,0.9607083194119612
36,14964.0,316.0,0.9788826516974071
37,14963.0,597.0,0.9601015839069705
38,14962.0,596.0,0.9601657532415453
39,14961.0,590.0,0.9605641334135419
40,14960.0,591.0,0.9604946524064171
41,14959.0,589.0,0.960625710274751
42,14958.0,593.0,0.9603556625217275
43,14957.0,588.0,0.9606873036036638
44,14956.0,586.0,0.9608184006418828
45,14955.0,585.0,0.9608826479438315
46,14954.0,591.0,0.9604788016584191
47,14953.0,595.0,0.9602086537818498
48,14952.0,590.0,0.9605403959336544
49,14951.0,297.0,0.9801351080195304
50,14950.0,726.0,0.951438127090301
51,14949.0,594.0,0.9602649006622517
52,14948.0,575.0,0.9615333154937116
53,14947.0,599.0,0.9599250685756339
54,14946.0,593.0,0.9603238324635354
55,14945.0,585.0,0.9608564737370358
56,14944.0,580.0,0.9611884368308351
57,14943.0,585.0,0.960851234691829
58,14942.0,585.0,0.9608486146432874
59,14941.0,584.0,0.9609129241683957
60,14940.0,582.0,0.9610441767068273
61,14939.0,581.0,0.9611085079322579
62,14938.0,594.0,0.9602356406480118
63,14937.0,600.0,0.9598312914239807
64,14936.0,181.0,0.9878816282806642
65,14935.0,588.0,0.9606293940408437
66,14934.0,592.0,0.960358912548547
67,14933.0,596.0,0.9600883948302418
68,14932.0,591.0,0.9604205732654701
69,14931.0,573.0,0.9616234679525819
70,14930.0,573.0,0.9616208975217683
71,14929.0,598.0,0.9599437336727176
72,14928.0,723.0,0.9515675241157556
73,14927.0,578.0,0.9612782206739465
74,14926.0,585.0,0.960806646120863
75,14925.0,603.0,0.9595979899497488
76,14924.0,589.0,0.9605333690699545
77,14923.0,561.0,0.9624070227166119
78,14922.0,571.0,0.9617343519635437
79,14921.0,578.0,0.9612626499564373
80,14920.0,581.0,0.961058981233244
81,14919.0,176.0,0.988202962665058
82,14918.0,582.0,0.960986727443357
83,14917.0,574.0,0.9615204129516659
84,14916.0,581.0,0.9610485384821668
85,14915.0,586.0,0.9607106939322829
86,14914.0,572.0,0.9616467748424299
87,14913.0,592.0,0.9603030912626568
88,14912.0,587.0,0.9606357296137339
89,14911.0,576.0,0.9613708000804775
90,14910.0,584.0,0.9608316566063045
91,14909.0,576.0,0.9613656180830371
92,14908.0,590.0,0.9604239334585457
93,14907.0,561.0,0.9623666733749245
94,14906.0,572.0,0.9616261907956527
95,14905.0,576.0,0.9613552499161355
96,14904.0,592.0,0.9602791196994096
97,14903.0,574.0,0.9614842649131048
98,14902.0,718.0,0.9518185478459267
99,14901.0,578.0,0.9612106570028858
100,14900.0,308.0,0.9793288590604027
101,14899.0,588.0,0.9605342640445668
102,14898.0,562.0,0.962276815679957
103,14897.0,581.0,0.9609988588306371
104,14896.0,574.0,0.9614661654135338
105,14895.0,587.0,0.9605908022826452
106,14894.0,586.0,0.9606552974352088
107,14893.0,600.0,0.9597126166655475
108,14892.0,585.0,0.9607171635777598
109,14891.0,589.0,0.9604459069236452
110,14890.0,574.0,0.9614506380120886
111,14889.0,562.0,0.9622540130297536
112,14888.0,581.0,0.9609752821063944
113,14887.0,589.0,0.9604352791025728
114,14886.0,592.0,0.9602310896144028
115,14885.0,569.0,0.9617735975814579
116,14884.0,580.0,0.9610319806503628
117,14883.0,560.0,0.9623731774507828
118,14882.0,578.0,0.9611611342561484
119,14881.0,574.0,0.961427323432565
120,14880.0,586.0,0.9606182795698924
121,14879.0,309.0,0.9792324753007594
122,14878.0,580.0,0.9610162656271004
123,14877.0,582.0,0.960879209518048
124,14876.0,579.0,0.9610782468405485
125,14875.0,587.0,0.9605378151260504
126,14874.0,567.0,0.9618797902379992
127,14873.0,562.0,0.9622134068446178
128,14872.0,730.0,0.9509144701452393
129,14871.0,578.0,0.9611324053526998
130,14870.0,579.0,0.9610625420309348
131,14869.0,591.0,0.9602528751092878
132,14868.0,581.0,0.9609227871939736
133,14867.0,557.0,0.9625344723212484
134,14866.0,580.0,0.9609847975245527
