number,times_testified,times_lied,truth_score
1,99.0,26.0,0.7373737373737373
2,98.0,9.0,0.9081632653061225
3,97.0,8.0,0.9175257731958762
4,96.0,2.0,0.9791666666666666
5,95.0,8.0,0.9157894736842105
6,94.0,8.0,0.9148936170212766
7,93.0,7.0,0.9247311827956989
8,92.0,9.0,0.9021739130434783
9,91.0,5.0,0.945054945054945
10,90.0,7.0,0.9222222222222223
11,89.0,7.0,0.9213483146067416
12,88.0,8.0,0.9090909090909091
13,87.0,6.0,0.9310344827586207
14,86.0,9.0,0.8953488372093024
15,85.0,7.0,0.9176470588235294
16,84.0,2.0,0.9761904761904762
17,83.0,8.0,0.9036144578313253
18,82.0,7.0,0.9146341463414634
19,81.0,8.0,0.9012345679012346
20,80.0,7.0,0.9125
21,79.0,7.0,0.9113924050632911
22,78.0,6.0,0.9230769230769231
23,77.0,6.0,0.922077922077922
24,76.0,7.0,0.9078947368421053
25,75.0,2.0,0.9733333333333334
26,74.0,8.0,0.8918918918918919
27,73.0,6.0,0.9178082191780822
28,72.0,5.0,0.9305555555555556
29,71.0,7.0,0.9014084507042254
30,70.0,7.0,0.9
31,69.0,7.0,0.8985507246376812
32,68.0,6.0,0.9117647058823529
33,67.0,6.0,0.9104477611940298
34,66.0,6.0,0.9090909090909091
35,65.0,6.0,0.9076923076923077
36,64.0,2.0,0.96875
37,63.0,3.0,0.9523809523809523
38,62.0,7.0,0.8870967741935484
39,61.0,4.0,0.9344262295081968
40,60.0,4.0,0.9333333333333333
41,59.0,3.0,0.9491525423728814
42,58.0,3.0,0.9482758620689655
43,57.0,4.0,0.9298245614035088
44,56.0,4.0,0.9285714285714286
45,55.0,3.0,0.9454545454545454
46,54.0,3.0,0.9444444444444444
47,53.0,3.0,0.9433962264150944
48,52.0,5.0,0.9038461538461539
49,51.0,3.0,0.9411764705882353
50,50.0,5.0,0.9
51,49.0,5.0,0.8979591836734694
52,48.0,3.0,0.9375
53,47.0,5.0,0.8936170212765957
54,46.0,5.0,0.8913043478260869
55,45.0,3.0,0.9333333333333333
56,44.0,4.0,0.9090909090909091
57,43.0,1.0,0.9767441860465116
58,42.0,3.0,0.9285714285714286
59,41.0,4.0,0.9024390243902439
60,40.0,3.0,0.925
61,39.0,2.0,0.9487179487179487
62,38.0,4.0,0.8947368421052632
63,37.0,3.0,0.9189189189189189
64,36.0,2.0,0.9444444444444444
65,35.0,2.0,0.9428571428571428
66,34.0,3.0,0.9117647058823529
67,33.0,2.0,0.9393939393939394
68,32.0,4.0,0.875
69,31.0,3.0,0.9032258064516129
70,30.0,3.0,0.9
71,29.0,2.0,0.9310344827586207
72,28.0,2.0,0.9285714285714286
73,27.0,1.0,0.962962962962963
74,26.0,4.0,0.8461538461538461
75,25.0,3.0,0.88
76,24.0,3.0,0.875
77,23.0,2.0,0.9130434782608696
78,22.0,1.0,0.9545454545454546
79,21.0,3.0,0.8571428571428572
80,20.0,3.0,0.85
81,19.0,2.0,0.8947368421052632
82,18.0,3.0,0.8333333333333334
83,17.0,2.0,0.8823529411764706
84,16.0,3.0,0.8125
85,15.0,1.0,0.9333333333333333
86,14.0,3.0,0.7857142857142857
87,13.0,1.0,0.9230769230769231
88,12.0,1.0,0.9166666666666666
89,11.0,1.0,0.9090909090909091
90,10.0,2.0,0.8
91,9.0,1.0,0.8888888888888888
92,8.0,2.0,0.75
93,7.0,1.0,0.8571428571428572
94,6.0,2.0,0.6666666666666667
95,5.0,1.0,0.8
96,4.0,0.0,1.0
97,3.0,0.0,1.0
98,2.0,1.0,0.5
99,1.0,0.0,1.0
100,0.0,0.0,NaN
